trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
152,True,"{'a': 0, 'e': 0}",25,0,-15.233510370736957,"{0: 24, 1: 0, 2: 0, 3: 0, 4: 1}",0
153,True,"{'a': 0, 'e': 0}",20,0,3.765691114935869,"{0: 19, 1: 0, 2: 0, 3: 1, 4: 0}",0
154,True,"{'a': 0, 'e': 0}",20,13,1.1478278525401857,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 0}",1
155,True,"{'a': 0, 'e': 0}",20,0,17.078834683728562,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
156,True,"{'a': 0, 'e': 0}",20,0,18.647845373929428,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
157,True,"{'a': 0, 'e': 0}",20,0,17.96927294816381,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
158,True,"{'a': 0, 'e': 0}",20,0,24.98364887869157,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
159,True,"{'a': 0, 'e': 0}",25,0,22.807901775533058,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
160,True,"{'a': 0, 'e': 0}",25,0,24.55450485879449,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
161,True,"{'a': 0, 'e': 0}",20,0,22.062029226288296,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
162,True,"{'a': 0, 'e': 0}",20,0,-21.712006266433335,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",0
163,True,"{'a': 0, 'e': 0}",25,0,24.377357518284207,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
164,True,"{'a': 0, 'e': 0}",25,0,11.017725620351467,"{0: 24, 1: 0, 2: 1, 3: 0, 4: 0}",0
165,True,"{'a': 0, 'e': 0}",20,5,6.749455831559025,"{0: 14, 1: 0, 2: 1, 3: 0, 4: 0}",1
166,True,"{'a': 0, 'e': 0}",25,0,25.175093900591506,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
167,True,"{'a': 0, 'e': 0}",30,11,-17.465444599530233,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 1}",1
168,True,"{'a': 0, 'e': 0}",30,14,19.466684569219552,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
169,True,"{'a': 0, 'e': 0}",30,0,37.920173889586465,"{0: 30, 1: 0, 2: 0, 3: 0, 4: 0}",0
170,True,"{'a': 0, 'e': 0}",20,10,15.992690883019296,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
171,True,"{'a': 0, 'e': 0}",20,0,18.408925421745817,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
172,True,"{'a': 0, 'e': 0}",25,0,22.30484211046883,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
173,True,"{'a': 0, 'e': 0}",30,0,38.4777726185681,"{0: 30, 1: 0, 2: 0, 3: 0, 4: 0}",0
174,True,"{'a': 0, 'e': 0}",25,2,24.586931749184178,"{0: 23, 1: 0, 2: 0, 3: 0, 4: 0}",1
175,True,"{'a': 0, 'e': 0}",20,0,14.984656923450533,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
176,True,"{'a': 0, 'e': 0}",20,4,17.662047888128292,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
177,True,"{'a': 0, 'e': 0}",20,0,21.072695715755973,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
